# General info: CANDELS COSMOS X-ray source / H-band source matches - LR > LRth MATCHES
#
# LR threshold = 2.20
#
# Crossmatch Class Description [Civano et al. (2012)]:
#		1. Secure        - Sources with one counterpart with LR > LRth
#		2. Ambiguous     - Sources with more than one counterpart with LR > LRth
#		3. Substhreshold - Sources with no counterpart with LR > LRth but with a possible
#                                  counterpart with LR < LRth within 5'' 						  
#               4. Unidentified  - (THESE SOURCES NOT INCLUDED HERE) Sources with no counterpart in 
#                                  each given catalog, even below threshold and 5'' from X-ray centroid
#		5. Retrieved     - Not a direct output of the likelihood procedure
#                                  Done with an X-ray contour visual check in cases of missing data
#                                  or subthreshold scenarios
# FlagAGN:
#		1 - AGN
#		0 - Not AGN
#	       -1 - Data unavailable for our method
#		Method: AGN if Full, Soft, or Hard band luminosity is greater than 42
#
# Builders and Contact Info:
#		Dale Kocevski (dale.kocevski@colby.edu)
#		Joshua Young
#
#
#  X_ID    H_ID   hRA            hDEC        xRA           xDEC    Class    LR      xFLUX(Full)  zbest      FullLx        SoftLx        HardLx  FlagAGN
995   26041   150.093384     2.507324   150.093475     2.507207  1     9.636    4.59e-16     2.199      43.87107      43.22325      43.76283   1
996     -99   150.122070     2.525791   150.122050     2.525795  5   -99.000   -9.90e+01   -99.000     -99.00000     -99.00000     -99.00000  -1
1139    3618   150.059219     2.219961   150.059128     2.219824  2    51.565    2.33e-15     1.141      43.76334      43.22706      43.45740   1
1144    5528   150.104691     2.243679   150.104675     2.243818  1    15.116    4.77e-16     1.912      44.07280      43.09140      44.25424   1
1156     335   150.084503     2.184325   150.084366     2.184452  1     3.621    5.70e-16     1.705      43.78339      43.04651      43.84330   1
1207   16263   150.067108     2.372425   150.067108     2.372429  1    75.858    1.05e-15     1.255      43.58634      42.98325      43.47793   1
1215   12566   150.064560     2.329036   150.064575     2.329034  1    32.609    1.12e-15     0.649      43.02636      42.30546      42.90068   1
1219    7072   150.076019     2.264287   150.075912     2.264375  1    17.052    3.46e-16     2.946      44.29747      43.40841      44.40716   1
1220    7304   150.080368     2.265939   150.080246     2.266017  1    41.023    5.39e-16     1.405      43.59787      42.81491      43.78661   1
1224    5884   150.182983     2.247925   150.182968     2.247965  1   119.637    4.67e-16     2.485      44.00451      43.35996      43.98290   1
1286    7154   150.141998     2.265101   150.141998     2.265187  1    13.745    4.22e-16     2.200      43.89637      43.18723      43.92741   1
1297    2677   150.057205     2.205932   150.057175     2.206066  1   101.517    6.04e-16     0.186      41.62163      40.77123      41.72659   0
1309   22492   150.055573     2.449150   150.055633     2.449316  2    37.670    4.02e-16     0.732      42.85547      41.98841      43.00432   1
3641   23395   150.138611     2.466556   150.138397     2.466687  1    15.264    1.42e-16     1.590      43.35265      42.36822      43.51040   1
122   26391   150.195511     2.511593   150.195465     2.511646  3     0.041    9.67e-16     0.983      43.20877      42.68499     -99.00000   1
655   11236   150.125687     2.312195   150.125595     2.312492  2     6.162    6.50e-16     0.302      41.71715      41.27964     -99.00000   0
779    8488   150.086761     2.281487   150.086823     2.281544  1     2.987    5.33e-16   -99.000     -99.00000     -99.00000     -99.00000   0
785   18568   150.163086     2.402238   150.163086     2.402170  3     1.147    4.37e-16     2.164      43.67154      43.18491     -99.00000   1
791   23392   150.117645     2.463594   150.117477     2.463696  1    28.193    6.41e-16     2.652      44.21699      43.56596     -99.00000   1
877    3291   150.176025     2.215571   150.175919     2.215654  1    53.897    5.83e-16     0.667      42.64900      42.05106     -99.00000   1
898   17469   150.058060     2.380421   150.058106     2.380434  1   204.712    1.60e-15     0.347      42.26572      41.81087     -99.00000   1
980   14538   150.184158     2.353553   150.184006     2.353594  1     3.912    7.88e-16     1.715      43.62526      43.19341     -99.00000   1
983   18562   150.090942     2.391220   150.091659     2.390705  1     3.042    9.85e-16     0.221      41.65593      41.15106     -99.00000   0
988   20902   150.076614     2.428320   150.076538     2.428255  1    67.114    5.35e-16     0.746      42.82539      42.13214     -99.00000   1
989   21534   150.154358     2.437338   150.154022     2.437240  2    11.811    1.79e-15     0.000     -99.00000     -99.00000     -99.00000  -1
992   35781   150.116669     2.424231   150.116699     2.425047  3     0.000    7.71e-16     5.660      45.00253      44.42869     -99.00000   1
1155    7351   150.079056     2.266569   150.078964     2.266592  1    44.924    4.65e-16     1.839      43.74980      43.03885     -99.00000   1
1157    3018   150.105987     2.213151   150.105957     2.213171  1    23.730    4.94e-16     0.941      42.94274      42.34643     -99.00000   1
1159    3671   150.120377     2.221262   150.120132     2.221353  1     3.691    2.71e-16     2.380      43.73852      43.07807     -99.00000   1
1164     -99   150.056620     2.208555   150.056480     2.208528  5   -99.000   -9.90e+01   -99.000     -99.00000     -99.00000     -99.00000  -1
1221    4051   150.095642     2.220151   150.095535     2.220267  1    42.706    6.95e-16     0.186      41.24494      40.83166     -99.00000   0
1222    4473   150.095901     2.230900   150.095886     2.230974  1    15.662    3.76e-16     1.759      43.57679      42.89913     -99.00000   1
1249   24374   150.196228     2.481789   150.196136     2.481809  1     8.403    5.21e-16     1.750      43.61513      43.03530     -99.00000   1
1464   15522   150.150238     2.364130   150.150314     2.364314  1     6.549    4.64e-16     2.591      44.03783      43.40115     -99.00000   1
1535   23339   150.118988     2.457184   150.118897     2.457170  1    67.356    4.59e-16     0.248      41.47494      40.93263     -99.00000   0
2111   14922   150.055939     2.357604   150.055878     2.357676  1     7.775    2.85e-16     1.985      43.40312      42.90760     -99.00000   1
2122   16012   150.085617     2.364119   150.085556     2.364170  1   142.174    2.68e-16     0.340      41.44495      41.01335     -99.00000   0
2128   12016   150.091797     2.321909   150.091736     2.321929  1    13.929    3.40e-16     1.364      43.34378      42.58301     -99.00000   1
2378     -99   150.203410     2.246703   150.203330     2.246678  5   -99.000   -9.90e+01   -99.000     -99.00000     -99.00000     -99.00000  -1
3627   28849   150.111588     2.549709   150.111526     2.549732  1    34.545    4.53e-16     1.557      43.36373      42.84957     -99.00000   1
3636   22757   150.133636     2.457414   150.133713     2.457497  1     6.587    5.46e-16     3.189      44.30039      43.68927     -99.00000   1
3683     -99   150.153680     2.399354   150.153630     2.399451  5   -99.000   -9.90e+01   -99.000     -99.00000     -99.00000     -99.00000  -1
460    3175   150.066925     2.210370   150.066818     2.210518  1    96.035   -9.90e+01     0.187      41.67906     -99.00000      41.91651   0
654   21500   150.130066     2.439145   150.130417     2.439259  1     2.690   -9.90e+01   -99.000     -99.00000     -99.00000     -99.00000   0
788   16755   150.133270     2.378744   150.133148     2.378672  1    20.586   -9.90e+01     1.997      43.77514     -99.00000      43.76236   1
794   19645   150.071472     2.414528   150.071365     2.414539  1    26.249   -9.90e+01     1.995      43.70114     -99.00000      43.83101   1
981    8127   150.136536     2.274401   150.136627     2.274336  1    31.370   -9.90e+01     1.207      43.01005     -99.00000      43.25860   1
990   20619   150.094955     2.425169   150.094925     2.425156  1    76.237   -9.90e+01     0.370      42.03934     -99.00000      42.17167   1
1247   20194   150.063431     2.421881   150.063507     2.421804  1     3.878   -9.90e+01     3.087      44.05490     -99.00000      44.14349   1
1427   22823   150.100189     2.457376   150.100510     2.457630  1     7.490   -9.90e+01     0.723      42.54128     -99.00000      42.82126   1
1518     977   150.150864     2.191328   150.150787     2.191634  1     5.150   -9.90e+01     1.122      43.06696     -99.00000      43.30405   1
2113   19607   150.068634     2.412617   150.068695     2.412499  1    70.552   -9.90e+01     0.730      42.30555     -99.00000      42.46405   1
2125   10259   150.089340     2.299566   150.089447     2.299971  2     5.574   -9.90e+01     0.533      42.27699     -99.00000      42.57930   1
2356    4092   150.136398     2.225276   150.136383     2.225310  1    48.109   -9.90e+01     1.023      42.98044     -99.00000      42.98044   1
3625   28472   150.104340     2.546882   150.104385     2.546988  1    57.382   -9.90e+01     0.510      42.02420     -99.00000      42.26782   1
3642   27475   150.138489     2.529345   150.138458     2.529377  1   124.132   -9.90e+01     0.853      43.00234     -99.00000      43.27909   1
3673   18296   150.080658     2.390262   150.079895     2.390045  1     4.729   -9.90e+01     0.353      42.03940     -99.00000      42.22974   1
1223    4072   150.138260     2.225014   150.138397     2.224934  1    23.349   -9.90e+01     1.781      43.66149     -99.00000     -99.00000   1
1330   26253   150.076935     2.510601   150.076965     2.510780  2     8.317   -9.90e+01     1.244      43.22211     -99.00000     -99.00000   1
1463   12620   150.111298     2.329664   150.111237     2.329531  1     4.042   -9.90e+01     1.257      42.99315     -99.00000     -99.00000   1
2123   18340   150.086014     2.398952   150.085938     2.399061  1    11.777   -9.90e+01     2.060      43.58208     -99.00000     -99.00000   1
2444   13741   150.139481     2.343722   150.139328     2.343013  3     0.542   -9.90e+01     1.833      43.43979     -99.00000     -99.00000   1
3648   25212   150.156891     2.496925   150.156876     2.497040  1    63.117   -9.90e+01     0.671      42.36361     -99.00000     -99.00000   1
11600   33996   150.100113     2.354423   150.100067     2.354514  1   132.851    2.34e-16     0.000     -99.00000     -99.00000     -99.00000  -1
